"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"Alvin Rice Jr","69199","Surface Water Reporting - [no name]","ALVIN RICE JR","inactive","Brunswick","DUG POND 2  9 FEET","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Amelia (Agriculture)","proposed","Amelia","Amelia (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amelia (Community Water System)","proposed","Amelia","Amelia (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amelia (Large Self-Supplied User)","proposed","Amelia","Amelia (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Martin Marietta Materials, Inc.","400207","Amelia Quarry","Amelia Quarry","active","Amelia","Quarry Dewatering","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amherst (Agriculture)","duplicate","Amherst","Amherst (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amherst (Community Water System)","duplicate","Amherst","Amherst (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amherst County (Agriculture)","proposed","Amherst","Amherst (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amherst County(Community Water System)","proposed","Amherst","Amherst (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Amherst County Service Authority","69679","AMHERST COUNTY SERVICE AREA(AMHERST COUNTY SERVICE AREA)","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Primary - Harris Creek","Surface Water Intake","0","","0","75.95","0","0","37.08"
"Amherst County Service Authority","163146","Graham Creek Reservoir Phase 2","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Primary - Harris Creek","Surface Water Intake","0","","0","75.95","0","0","37.08"
"Amherst County Service Authority","163193","Amherst County Service Authority James River Intake","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Primary - Harris Creek","Surface Water Intake","0","","0","75.95","0","0","37.08"
"Amherst County Service Authority","69679","AMHERST COUNTY SERVICE AREA(AMHERST COUNTY SERVICE AREA)","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Secondary - Graham Creek Reservoir","Surface Water Intake","0","","0","495.92","0","0","46.39"
"Amherst County Service Authority","163146","Graham Creek Reservoir Phase 2","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Secondary - Graham Creek Reservoir","Surface Water Intake","0","","0","495.92","0","0","46.39"
"Amherst County Service Authority","163193","Amherst County Service Authority James River Intake","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Secondary - Graham Creek Reservoir","Surface Water Intake","0","","0","495.92","0","0","46.39"
"Amherst County Service Authority","69679","AMHERST COUNTY SERVICE AREA(AMHERST COUNTY SERVICE AREA)","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Tertiary - James River (emergency only)","Surface Water Intake","0","","0","0","0","0","0"
"Amherst County Service Authority","163146","Graham Creek Reservoir Phase 2","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Tertiary - James River (emergency only)","Surface Water Intake","0","","0","0","0","0","0"
"Amherst County Service Authority","163193","Amherst County Service Authority James River Intake","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Tertiary - James River (emergency only)","Surface Water Intake","0","","0","0","0","0","0"
"Amherst County Service Authority","69679","AMHERST COUNTY SERVICE AREA(AMHERST COUNTY SERVICE AREA)","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Tertiary - James River","Surface Water Intake","0","","0","0","0","0","0"
"Amherst County Service Authority","163146","Graham Creek Reservoir Phase 2","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Tertiary - James River","Surface Water Intake","0","","0","0","0","0","0"
"Amherst County Service Authority","163193","Amherst County Service Authority James River Intake","AMHERST COUNTY SERVICE AREA - LANUM WTP","active","Amherst","Tertiary - James River","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amherst (Large Self-Supplied User)","proposed","Amherst","Amherst (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Amherst (Large Self-Supplied User)","duplicate","Amherst","Amherst (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Amherst, Town Of","69547","AMHERST (TOWN) WTP(AMHERST, TOWN)","AMHERST (TOWN) WTP","active","Amherst","BUFFALO RIVER","Surface Water Intake","1","VWUDS Form","0","125.571","2.016","0","12.431"
"Amherst, Town Of","163137","Town of Amherst","AMHERST (TOWN) WTP","active","Amherst","BUFFALO RIVER","Surface Water Intake","1","VWUDS Form","0","125.571","2.016","0","12.431"
"Amherst, Town Of","163246","Town of Amherst","AMHERST (TOWN) WTP","active","Amherst","BUFFALO RIVER","Surface Water Intake","1","VWUDS Form","0","125.571","2.016","0","12.431"
"Amos Bowman","70861","Surface Water Reporting - [no name]","AMOS BOWMAN","inactive","Patrick","FARM POND???","Surface Water Intake","0","","5","0","0","0","0"
"Martin Marietta Aggregates","69764","ANDERSON CREEK QUARRY(ANDERSON CREEK QUARRY)","ANDERSON CREEK QUARRY","active","Goochland","QUARRY","Surface Water Intake","0","","2","0","0","0","0"
"Andre Viette","70148","ANDRE VIETTE FARM AND NURSERY","ANDRE VIETTE FARM AND NURSERY","active","Augusta","MEADOW RUN        (#5)","Surface Water Intake","0","","5","0","0","0","0"
"Engel Family Farms","69218","ANGEL ROSE FARM(ANGEL ROSE FARM)","ANGEL ROSE FARM","active","Sussex","Nottaway River - Sussex 8, 9, & 10","Surface Water Intake","0","","0","0","0","0","0"
"Engel Family Farms","69218","ANGEL ROSE FARM(ANGEL ROSE FARM)","ANGEL ROSE FARM","active","Sussex","Nottoway River - Sussex 11,12, & 18","Surface Water Intake","0","","0","0","0","0","0"
"Engel Family Farms","69218","ANGEL ROSE FARM(ANGEL ROSE FARM)","ANGEL ROSE FARM","active","Sussex","Nottaway River - Sussex 1, 3, 6, 7, & 15","Surface Water Intake","0","","0","0","0","0","0"
"A O Gunn","69189","Surface Water Reporting - [no name]","A O GUNN","inactive","Lunenburg","DUG POND","Surface Water Intake","0","","5","0","0","0","0"
"North Carolina-WSP Systems","0","","Appalachian State University","proposed","Watauga","ASU Lake Norris Branch","Surface Water Intake","0","","0","0","0","0","0"
"Appalachia, Town Of","70638","APPALACHIA WTP(APPALACHIA)","APPALACHIA WTP","active","Wise","APPALACHIA RESERVOIR","Surface Water Intake","100","VWUDS Form","0","228.411","0","0","21.452"
"Appalachia, Town Of","163189","Appalachia Town of-Water Withdrawal","APPALACHIA WTP","active","Wise","APPALACHIA RESERVOIR","Surface Water Intake","100","VWUDS Form","0","228.411","0","0","21.452"
"Appalachia, Town Of","70638","APPALACHIA WTP(APPALACHIA)","APPALACHIA WTP","active","Wise","Powell River to Reservoir","Surface Water Intake","0","","0","0","0","0","0"
"Appalachia, Town Of","163189","Appalachia Town of-Water Withdrawal","APPALACHIA WTP","active","Wise","Powell River to Reservoir","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Appomattox (Agriculture)","duplicate","Appomattox","Appomattox (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Appomattox (Community Water System)","duplicate","Appomattox","Appomattox (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Appomattox County (Agriculture)","proposed","Appomattox","Appomattox (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Appomattox County (Community Water System)","proposed","Appomattox","Appomattox (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Appomattox County (Large Self-Supplied User)","proposed","Appomattox","Appomattox (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Appomattox (Large Self-Supplied User)","duplicate","Appomattox","Appomattox (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Aquia Harbour Property Owners Association","69051","Aquia Harbour Golf Course(Aquia Harbour Golf Course (Irrigation))","Aquia Harbour Golf Course","active","Stafford","Aquia Creek","Surface Water Intake","0","","0","0","0","0","0"
"Robert C Darby And Sons","70382","ARBUCKLE FARMS(ARBUCKLE FARMS)","ARBUCKLE FARMS","active","Accomack","CONQUEST FARM DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"Robert C Darby And Sons","70382","ARBUCKLE FARMS(ARBUCKLE FARMS)","ARBUCKLE FARMS","active","Accomack","ARBUCKLE FARM DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"Robert C Darby And Sons","70382","ARBUCKLE FARMS(ARBUCKLE FARMS)","ARBUCKLE FARMS","active","Accomack","ALVAS FARM DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"Robert C Darby And Sons","70382","ARBUCKLE FARMS(ARBUCKLE FARMS)","ARBUCKLE FARMS","active","Accomack","WALLOPS ROAD FARM DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"Robert C Darby And Sons","70382","ARBUCKLE FARMS(ARBUCKLE FARMS)","ARBUCKLE FARMS","active","Accomack","ATLANTIC FARM DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"Robert C Darby And Sons","70382","ARBUCKLE FARMS(ARBUCKLE FARMS)","ARBUCKLE FARMS","active","Accomack","BUNDICK FARM DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"Gainesville Associates","70630","A.R.C.-FORMER-PINE RIDGE PLANT(ATLANTIC RESEARCH CORPORATION)","A.R.C.-FORMER-PINE RIDGE PLANT","active","Prince William","PINEY BRANCH CREEK","Surface Water Intake","0","","0","7.083","0","0","0.992"
"Intermet Corporation Inc","71234","ARCHER CREEK PLANT(ARCHER CREEK FOUNDRY)","ARCHER CREEK PLANT","inactive","Campbell","JAMES RIVER","Surface Water Intake","1.728","VWUDS Form","1","441.347","0","0","48.724"
"","0","","Arlington (Agriculture)","proposed","Arlington","Arlington (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Arlington (Community Water System)","proposed","Arlington","Arlington (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Army-Navy Country Club","70842","ARLINGTON GOLF COURSE(ARLINGTON GOLF COURSE)","ARLINGTON GOLF COURSE","active","Arlington","ON SITE POND","Surface Water Intake","1.2","VWUDS Form","1","19.95","0","0","5.92"
"","0","","Arlington (Large Self-Supplied User)","proposed","Arlington","Arlington (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Solite Corporation","68926","ARVONIA PLANT(ARVONIA PLANT)","ARVONIA PLANT","inactive","Buckingham","SLATE RIVER","Surface Water Intake","0","","5","221.7","0","0","19.1"
"Ken Gustafson","69651","ASHLAND BERRY FARM","ASHLAND BERRY FARM","active","Hanover","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Ken Gustafson","69651","ASHLAND BERRY FARM","ASHLAND BERRY FARM","active","Hanover","FARM POND","Surface Water Intake","0","","4","0","0","0","0"
"Ken Gustafson","69651","ASHLAND BERRY FARM","ASHLAND BERRY FARM","active","Hanover","NEWFOUND RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Katherine Glick","69287","ASHLAND FARMS","ASHLAND FARMS","inactive","Rockbridge","BUFFALO CREEK","Surface Water Intake","0","","0","0","0","0","0"
"819 Virginia LLC","71539","ASHLAND PLANT(ASHLAND PLANT)","ASHLAND PLANT","active","Caroline","NORTH ANNA RIVER","Surface Water Intake","8","VWUDS Form","1","91.879","0","0","30.668"
"819 Virginia LLC","71539","ASHLAND PLANT(ASHLAND PLANT)","ASHLAND PLANT","active","Caroline","MEADOWS POND","Surface Water Intake","3.5","VWUDS Form","1","442.973","0","0","62.01"
"Ardith R Overbay","90380","Ashley Plantation Country Club(Ashely Plantation Country Club (Irrigation))","Ashley Plantation Country Club","active","Botetourt","220 Pump","Surface Water Intake","0","","0","0","0","0","0"
"Ardith R Overbay","90380","Ashley Plantation Country Club(Ashely Plantation Country Club (Irrigation))","Ashley Plantation Country Club","active","Botetourt","#4 Pond","Surface Water Intake","0","","0","0","0","0","0"
"Douglas M. Atwood","69329","ATWOOD FARMS","ATWOOD FARMS","active","Page","Hawksbill Creek","Surface Water Intake","0","","0","0","0","0","0"
"Douglas M. Atwood","69329","ATWOOD FARMS","ATWOOD FARMS","active","Page","SPRING","Surface Water Intake","0","","0","0","0","0","0"
"Aubrey H Lewis","68820","Surface Water Reporting - [no name]","AUBREY H LEWIS","inactive","Accomack","POND","Surface Water Intake","0","","5","0","0","0","0"
"Aubrey L Turner","69194","Surface Water Reporting - [no name]","AUBREY L TURNER","inactive","Page","SPRING","Surface Water Intake","0","","0","0","0","0","0"
"Aubrey Pritchett","70073","Surface Water Reporting - [no name]","AUBREY PRITCHETT","inactive","Pittsylvania","POND","Surface Water Intake","0","","0","0","0","0","0"
"Aubrey Pritchett","70073","Surface Water Reporting - [no name]","AUBREY PRITCHETT","inactive","Pittsylvania","POND","Surface Water Intake","0","","0","0","0","0","0"
"Phillip Holen & Danny Thompson","90407","Auburn Hills Golf Club(Auburn Hills Golf Club (Irrigation))","Auburn Hills Golf Club","active","Montgomery","Pond","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Augusta (Agriculture)","proposed","Augusta","Augusta (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Augusta (Community Water System)","proposed","Augusta","Augusta (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","70418","AUGUSTA FORESTRY CENTER","AUGUSTA FORESTRY CENTER","active","Augusta","SOUTH RIVER","Surface Water Intake","0","","5","1.14","0","0","0.217"
"Virginia, Commonwealth Of","70418","AUGUSTA FORESTRY CENTER","AUGUSTA FORESTRY CENTER","active","Augusta","CALF PASTURE RIVER","Surface Water Intake","0","","5","0","0","0","0"
"","0","","Augusta (Large Self-Supplied User)","proposed","Augusta","Augusta (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Augusta County Service Authority","70550","AUGUSTA SPRINGS SERVICE AREA(AUGUSTA SPRINGS)","AUGUSTA SPRINGS SERVICE AREA","active","Augusta","AUGUSTA SPRINGS - Municipal Spring","Surface Water Intake","0","","0","8.529","0","0","1.705"
"Raspberry Golf Management","192139","Augustine Golf Club(Augustine Golf Club (Irrigation))","Augustine Golf Club","active","Stafford","Pond","Surface Water Intake","0","","0","0","0","0","0"
"Wythe County & New River Regional Water Authority","69295","AUSTINVILLE WTP(AUSTINVILLE)","Austinville WTP","active","Wythe","NEW RIVER","Surface Water Intake","0","","5","7.31","8.064","0","0.841"
"Wythe County & New River Regional Water Authority","163138","New River Reg Water Auth-New River Water Withrawal","Austinville WTP","active","Wythe","NEW RIVER","Surface Water Intake","0","","5","7.31","8.064","0","0.841"
"David Hovatter","69104","AVONDALE FARM INC","AVONDALE FARM INC","active","Shenandoah","NORTH FORK SHENANDOAH RIVER","Surface Water Intake","0","","1","27.149","0","0","20.362"
"Michael A Zettel","70536","AZALEA ACRES","AZALEA ACRES","inactive","Fairfax County","POND???","Surface Water Intake","0","","0","0","0","0","0"
"Gray Lumber Company","70667","BACONS CASTLE FARM(VALLEY CENTER PIVOT)","BACONS CASTLE FARM","inactive","Surry","PRIVATE LAKE","Surface Water Intake","0","","5","141","0","0","71"
"Bacons Castle Farm LLC","69770","BACONS CASTLE FARM(BACONS CASTLE FARM)","BACONS CASTLE FARM","active","Surry","LAKE","Surface Water Intake","0","","0","0","0","0","0"
"Kyanite Mining Corporation","71511","BAKER MOUNTAIN PLANT(BAKER MOUNTAIN PLANT)","BAKER MOUNTAIN PLANT","abandoned","Prince Edward","SPRING CREEK","Surface Water Intake","0","","0","66.006","0","0","7.161"
"Barnett'S Greenhouse","70123","BARNETT'S GREENHOUSE","BARNETT'S GREENHOUSE","inactive","Madison","??","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","71273","BASKERVILLE CORRECTIONAL UNIT(UNIT  4 - BASKERVILLE)","BASKERVILLE CORRECTIONAL UNIT","inactive","Mecklenburg","LONG BR RESERVOIR","Surface Water Intake","0","","0","0","0","0","0"
"Active Wear Inc","71119","BASSETT DIVISION(BASSETT PLANT)","BASSETT DIVISION","inactive","Henry","SMITH RIVER","Surface Water Intake","0","","0","89.225","0","0","23.281"
"Bassett Furniture Industries","68710","BASSETT PLANT(BASSETT PLANT)","BASSETT PLANT","active","Henry","SMITH RIVER-BASSETT TABLE","Surface Water Intake","0.096","VWUDS Form","1","26.319","0","0","12.9"
"Bassett Furniture Industries","68710","BASSETT PLANT(BASSETT PLANT)","BASSETT PLANT","active","Henry","SMITH RIVER-JD BASSETT INT 002","Surface Water Intake","0","","0","18.411","0","0","1.674"
"Bassett Furniture Industries","68710","BASSETT PLANT(BASSETT PLANT)","BASSETT PLANT","active","Henry","SMITH RIVER-BSSTT FURN INT 003","Surface Water Intake","0","","0","16.679","0","0","1.519"
"Bassett Furniture Industries","68710","BASSETT PLANT(BASSETT PLANT)","BASSETT PLANT","active","Henry","SMITH RIVER-FIBREBD INTAKE 001","Surface Water Intake","0.144","VWUDS Form","1","55.696","0","0","4.991"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","FARM POND 4 W/H CATFISH","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","OLD FARM POND 1 WALTERS HOUSE","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","Hay Shed Pond","Surface Water Intake","0","","0","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","JOE'S PONDS","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","FARM POND 2 ARTHUR FARM","Surface Water Intake","0","","0","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","PURYEAR'S POND","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","PLANT BED POND","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","DOROTHY'S POND","Surface Water Intake","0","","0","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","WHIPPING CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","DEEP BRANCH","Surface Water Intake","0","","0","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","BILLY MASON'S LAKE","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","STAUNTON RIVER","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","FARM POND 3 WB'S HOUSE","Surface Water Intake","0","","1","0","0","0","0"
"Bass Farms","71002","BASS FARMS","Bass Farms","active","Campbell","Pond at River","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Bath (Agriculture)","proposed","Bath","Bath (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Bath (Community Water System)","proposed","Bath","Bath (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Power - Allegheny Pwr","71548","BATH COUNTY PUMPED STORAGE(BATH COUNTY PUMPED STORAGE)","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK","Surface Water Intake","5.4","VWUDS Form","1","0","0","0","0"
"Virginia Power - Allegheny Pwr","163154","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK","Surface Water Intake","5.4","VWUDS Form","1","0","0","0","0"
"Virginia Power - Allegheny Pwr","427952","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK","Surface Water Intake","5.4","VWUDS Form","1","0","0","0","0"
"Virginia Power - Allegheny Pwr","71548","BATH COUNTY PUMPED STORAGE(BATH COUNTY PUMPED STORAGE)","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (4)","Surface Water Intake","0","","0","135.337","0","0","21.48"
"Virginia Power - Allegheny Pwr","163154","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (4)","Surface Water Intake","0","","0","135.337","0","0","21.48"
"Virginia Power - Allegheny Pwr","427952","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (4)","Surface Water Intake","0","","0","135.337","0","0","21.48"
"Virginia Power - Allegheny Pwr","71548","BATH COUNTY PUMPED STORAGE(BATH COUNTY PUMPED STORAGE)","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (1)","Surface Water Intake","0","","0","3997.241","0","0","3900"
"Virginia Power - Allegheny Pwr","163154","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (1)","Surface Water Intake","0","","0","3997.241","0","0","3900"
