fac_hydroid	hydroid	ftype	name	riverseg	tnt	exempt_value
67125	60916	agriculture	FARM POND	MN3_7540_7680	non-tidal	0.000000000000000000000
67135	59711	agriculture	SMALL POND	ES0_0000_0000	tidal	0.00000000000000000000
67135	63774	agriculture	LARGE POND	ES0_0000_0000	tidal	0.00000000000000000000
67137	60363	commercial	GOLF COURSE POND	JB0_7381_0000	tidal	0.116
67142	64116	commercial	IRRIGATION LAKE	MN0_7870_0000	tidal	1.73
67148	61261	commercial	LAKE #5 AND #6	JB0_7382_0000	tidal	0.02683871
67148	61263	commercial	LAKE #4 AND #3	JB0_7382_0000	tidal	0.031
67148	61265	commercial	LAKE #1	JB0_7382_0000	tidal	0.027
67160	60261	commercial	IRRIGATION LAKE	JB0_7660_0000	tidal	0.000000000000000000000
67169	61632	commercial	6.5 ACRE LAKE	JB0_7760_0000	tidal	1.44
67174	60591	fossilpower	RAPPAHANNOCK RIVER	RL5_6070_0000	tidal	3.72602739726027397260
67175	60256	agriculture	TURNER FARM POND	EL0_6610_0000	tidal	0.00000000000000000000
67177	59031	commercial	LAKE	JB0_7660_0000	tidal	0.000000000000000000000
67179	63845	agriculture	DUG POND	EL0_6480_0000	tidal	0.00000000000000000000
67189	60869	irrigation	POND	ES0_0000_0000	tidal	0.000000000000000000000
67211	59865	agriculture	DAM CREEK	YP5_6780_0000	tidal	0.00000000000000000000
67211	60258	agriculture	JEB'S CREEK	YP5_6780_0000	tidal	0.00000000000000000000
67211	61661	agriculture	SPRING W-1	YP5_6780_0000	tidal	0.00000000000000000000
67211	63399	agriculture	SPRING E-1	YP5_6780_0000	tidal	0.00000000000000000000
67221	58977	irrigation	D/E Pond	EL0_6610_0000	tidal	0.033601541697047087738065
67221	60354	irrigation	BRANCH POND	EL0_6610_0000	tidal	0.070603415928123754423677
67224	65208	nuclearpower	JAMES RIVER	JB0_7072_0000	tidal	2260
67238	65501	irrigation	Jones 2 Dug Pond	EL0_6610_0000	tidal	0.000000000000000000000
67267	60014	commercial	POND	JB0_7383_0000	tidal	0.052258065
67274	60292	commercial	RETENTION POND	JB0_7661_0000	tidal	1.44
67290	60234	commercial	IRRIGATION LAKE FIRST TEE PUMP	MN2_7850_0000	tidal	0.000000000000000000000
67290	60342	commercial	IRRIGATION LAKE TPC PUMP HOUSE	MN2_7850_0000	tidal	0.000000000000000000000
67292	59362	irrigation	MARACOSSIC CREEK - POYNERS	YM1_6370_6620	non-tidal	0.044786524250750448789041
67292	59373	irrigation	MATTAPONI RIVER - BURRIS	YM3_6430_6620	non-tidal	0.074364986954380881978082
67292	59380	irrigation	FARM POND - SANDY SPRINGS	YM3_6430_6620	non-tidal	0.061534683743756643090411
67292	59419	irrigation	MATTAPONI RIVER - POCKETS	YM4_6620_0001	non-tidal	0.044048748461173506242466
67292	61600	irrigation	MARACOSSIC CREEK - HOME PLACE	YM1_6370_6620	non-tidal	0.113851617446608072569863
67292	64502	irrigation	MATTAPONI RIVER - BARLOW	YM3_6430_6620	non-tidal	0.027804699698288800545205
67292	65050	irrigation	RAPPAHANNOCK RIVER - HAYMOUNT	RL5_6070_0000	tidal	0.000000000000000000000000
67299	64265	commercial	Irr System. Pond 	RL5_6070_0000	tidal	0.000000000000000000000
67316	60545	irrigation	FARM POND #2             OK	EL0_6610_0000	tidal	0.000000000000000000000000
67316	63098	irrigation	FARM POND #1             OK	EL0_6610_0000	tidal	0.006029003720240799146200
67316	65121	irrigation	Dug Pond	EL0_6610_0000	tidal	0.004364220757490436541600
67316	231892	irrigation	Ward Farm Pond	EL0_6610_0000	tidal	0.059923759019404114945000
67316	231894	irrigation	Boole Farm Pond	EL0_6610_0000	tidal	0.001523457929308158923200
67322	63488	commercial	RHINE RIVER PUMP	JB0_7391_0000	tidal	0.5
67325	59874	agriculture	MILLS FARM POND	MN3_8150_0000	tidal	0.000000000000000000000000
67325	60205	agriculture	MOALCO FARM CANAL	MN3_8150_0000	tidal	0.000000000000000000000000
67325	63830	agriculture	WATERS FARM POND	MN3_8150_0000	tidal	0.000000000000000000000000
67325	63849	agriculture	MAIN FARM CANAL	MN3_8150_0000	tidal	0.000000000000000000000000
67325	90447	agriculture	SQUIRES FARM POND	MN3_8150_0000	tidal	0.022464931506849621083993
67328	61538	agriculture	BACK POND (#2)	EL0_6480_0000	tidal	0.00000000000000000000
67328	63903	agriculture	FRONT POND (#1)	EL0_6480_0000	tidal	0.00000000000000000000
67337	58864	municipal	LAKE MEADE	JB1_8090_0001	non-tidal	24.92717505641431769056
67337	58873	municipal	LAKE KILBY	JB1_8090_0001	non-tidal	0.00000000000000000000
67337	65340	municipal	Lake Meade Pitchkettle Rd Intake 	JB1_8090_0001	non-tidal	7.07282494358568230944
67341	59136	manufacturing	MT AIREY FARM POND	RL1_6322_0000	tidal	0.015808219
67341	60441	manufacturing	SCATES POND	RL0_6530_0000	tidal	0.000375342
67341	61066	manufacturing	BRYANT POND	PL0_6270_0000	tidal	0.028387097
67341	61557	manufacturing	GEORGETOWN-HINTON	RL0_6450_0000	tidal	0.016876712
67341	61810	manufacturing	MR JENKINS FARM POND	PL0_6270_0000	tidal	0.007832877
67341	62073	manufacturing	LODGE CREEK   VANLANDINGHAM	PL0_6140_0000	tidal	0.00000000000000000000
67341	62156	manufacturing	MT ZION FARM	PL0_6140_0000	tidal	0.00000000000000000000
67341	62852	manufacturing	BLACKWELLS POND	PL0_6270_0000	tidal	0.017741935
67349	65252	commercial	GOLF IRRIGATION POND	EL0_6550_0000	tidal	0.000000000000000000000
67353	61637	commercial	GOLF COURSE LAKE	MN2_7850_0000	tidal	0.045
67359	61555	commercial	PONDS #1, #2 AND #3	PL7_4981_0000	tidal	0.130322581
67366	60039	commercial	WAREHAM'S POND	JB0_7072_0000	tidal	2
67366	62098	commercial	KINGSMILL POND	JB0_7072_0000	tidal	0.88
67366	63703	commercial	Rhine River Lake	JB0_7391_0000	tidal	2.088
67367	62696	agriculture	GOIN IRRIGATION POND	EL0_6190_0000	tidal	0.00000000000000000000
67368	60732	agriculture	LAND FARM POND	MN0_7870_0000	tidal	0.00000000000000000000
67368	60733	agriculture	HENLEY FARM POND	MN0_7870_0000	tidal	0.00000000000000000000
67372	453076	irrigation	Surface #1	ES0_0000_0000	tidal	0.000160270061079035299737
67375	59611	irrigation	FARM POND	YP5_6780_0000	tidal	0.004931507
67380	60555	manufacturing	BLACKWATER RIVER	MN4_8110_0000	tidal	7.2
67398	64410	commercial	IRRIGATION POND  HOLE #2	JB0_7393_0000	tidal	0.00000000000000000000
67402	63874	irrigation	POND	MN0_7870_0000	tidal	0.151917808
67413	64695	irrigation	POND DRAIN - NORTHSIDE B	EL0_7220_0000	tidal	0.00000000000000000000
67426	59420	municipal	LONE STAR LAKES	JB0_7390_0000	tidal	4.536
67426	61595	municipal	CRUMPS MILL POND	JB0_7390_0000	tidal	3.456
67431	453078	irrigation	Surface #1	EL0_6550_0000	tidal	0.004077572586352459451721
67436	60285	agriculture	PEACH ORCHARD FARM POND	ES0_0000_0000	tidal	0.00000000000000000000
67437	59177	agriculture	KELLEY POND	ES0_0000_0000	tidal	0.00000000000000000000
67688	65049	municipal	BEAVERDAM RESERVOIR	YL0_7010_0000_beaverdam	tidal	4.3
68655	65566	mining	McClure River	BS3_8580_8440	non-tidal	0.000000000000000000000
68657	68403	commercial	Kinloch Pond	JL7_6800_7070	non-tidal	0.205479452054794520547945
68661	68409	commercial	Holding Pond	JA2_7290_0001	non-tidal	0.000000000000000000000
68664	68421	commercial	Swift Creek Reservoir	JA0_7291_7290	non-tidal	0.000000000000000000000
68667	60578	irrigation	POND	EL0_6920_0000	tidal	0.00000000000000000000
68670	68385	commercial	Irrigation Pond 	PL2_5140_5360	non-tidal	0.002500000000000043902450
68671	64817	mining	DISMAL RIVER	BS3_8350_8330	non-tidal	1.420972603
68673	68386	commercial	Powell's Creek	PL0_5491_0000	tidal	0.023101369863013698630137
71578	64761	agriculture	Un-Named Trib to Rockfish River (Mont Alto)	JL6_6890_6990	non-tidal	0.000000000000000000000
71578	65550	agriculture	test8	JL1_6770_6850	non-tidal	0.000000000000000000000
71578	231195	agriculture	Tset 3	JL2_6850_6890	non-tidal	0.000000000000000000000
71580	64560	irrigation	APPOMATTOX RIVER	JA4_7280_7340	non-tidal	0.864591781
71581	64745	commercial	#10 LAKE	RU2_6090_6220	non-tidal	0.045013698630136986301370
71581	64748	commercial	5 AC LAKE	RU2_6090_6220	non-tidal	0.096774194
71582	61547	municipal	BANISTER RIVER	OD3_8340_8520	non-tidal	0.4
71592	58769	irrigation	APPOMATTOX RIVER	JA4_7280_7340	non-tidal	0.013090755001097202008759
71592	58770	irrigation	MANURE PIT RUNOFF POND	JA4_7280_7340	non-tidal	0.000000000000000000000000
71593	63807	agriculture	NORTH BUFFALO CREEK	JU2_7180_7380	non-tidal	0.000000000000000000000
71593	230369	agriculture	Spring	JU2_7180_7380	non-tidal	0.000000000000000000000
71597	64884	mining	MIDDLE FORK CREEK	TU4_8800_9290	non-tidal	0.018
71603	61575	manufacturing	DAN RIVER	OD5_8770_8780	non-tidal	5
71604	68405	commercial	Springs	TU4_9090_0000	non-tidal	0.000000000000000000000
71608	68407	commercial	River Course Irrigation Pond	PM7_4620_4580	non-tidal	0.09217898002057286485
71608	68408	commercial	Championship Course Irrigation Pond	PM7_4620_4580	non-tidal	0.12699910217120795707
71609	58847	manufacturing	SMITH RIVER-BASSETT TABLE	OD3_8630_8720	non-tidal	0.416129032
71609	61339	manufacturing	SMITH RIVER-JD BASSETT INT 002	OD3_8630_8720	non-tidal	0.054
71609	61340	manufacturing	SMITH RIVER-BSSTT FURN INT 003	OD3_8630_8720	non-tidal	0.049
71609	61564	manufacturing	SMITH RIVER-FIBREBD INTAKE 001	OD3_8630_8720	non-tidal	0.161
71611	59963	municipal	NORTH FORK RIVANNA RIVER	JL2_6240_6520	non-tidal	2
71613	68388	commercial	#1 Irrigation Pond (pump station location)	JL1_6560_6440	non-tidal	0.000000000000000000000
71613	68390	commercial	#5 Pond (Transfer Pump)	JL1_6560_6440	non-tidal	0.000000000000000000000
71614	63193	municipal	DANS HOLLOW STREAM	PS3_5100_5080	non-tidal	0.10116129
71614	63996	municipal	HORN'S GULLY STREAM	PS3_5100_5080	non-tidal	0.070677419
71616	68393	commercial	Lee's Hill Pond	RL5_6070_0000	tidal	0.023408219178082191780822
71623	68406	commercial	Sand Pit Lake	JB0_7760_0000	tidal	0.000000000000000000000
71624	68396	commercial	Ponds (3)	PL2_4970_5250	non-tidal	0.004200000000000000000000
71626	60188	irrigation	FARM POND   FARM #91	MN3_7930_8010	non-tidal	0.000000000000000000000000
71626	60435	irrigation	FARM POND 2	MN2_7830_7950	non-tidal	0.000000000000000000000000
71626	61534	irrigation	FARM POND 1-Mill Run Branch	MN2_7830_7950	non-tidal	0.000000000000000000000000
71626	63967	irrigation	FARM POND 4	MN2_7830_7950	non-tidal	0.000000000000000000000000
71626	65152	irrigation	FARM POND 3	MN2_7830_7950	non-tidal	0.000000000000000000000000
71627	63104	municipal	S FORK SHENANDOAH RIVER	PS4_5840_5240	non-tidal	93
71628	63334	manufacturing	SHENANDOAH RIVER  #1	PS5_4380_4370	non-tidal	0.058064516
71632	68387	commercial	Morey Creek	JL4_6520_6710	non-tidal	0.000000000000000000000
71634	60293	irrigation	SOUTH RIVER	PS2_6490_6420	non-tidal	0.00000000000000000000
71638	68395	commercial	Lake (3Ac)	NR5_8870_8760	non-tidal	0.000000000000000000000
71641	61610	municipal	MILL BRANCH	JU4_7000_7300	non-tidal	2.25083871
71642	60659	municipal	STONEY CREEK RESERVOIR	OR2_7610_7780	non-tidal	3
71643	58837	irrigation	RR Pond	MN1_7620_7710	non-tidal	0.000000000000000000000
71643	58839	irrigation	Route 1 Pond	MN1_7620_7710	non-tidal	0.000000000000000000000
71643	64424	irrigation	Mex. Housefld. Pond	MN1_7620_7710	non-tidal	0.000000000000000000000
71645	59060	commercial	Lake	PL0_5251_0000	tidal	0.3669041095890410958904
71648	64751	agriculture	PAINT BANK BRANCH	JU2_7450_7360	non-tidal	4.628709677
71650	65403	commercial	LAKE	PS4_5840_5240	non-tidal	1.44
71652	60398	municipal	KEYSVILLE RESERVOIR	OR5_7910_8410	non-tidal	2.016
71654	64801	municipal	BLUESTONE RIVER	NR0_8310_0000	tidal	4.968
71657	68416	commercial	Tinker Creek	OR3_7740_8271	non-tidal	0.000000000000000000000
71661	64819	mining	DISMAL RIVER	BS3_8350_8330	non-tidal	7.8
71663	64820	mining	CANEY CREEK	BS1_8730_8540	non-tidal	1.31
71670	59424	irrigation	PAMUNKEY RIVER - QF4	YP5_6780_0000	tidal	0.000000000000000000000000
71670	64242	irrigation	Pamunkey R - QF3	YP5_6780_0000	tidal	0.034539824356565446474200
71678	63872	irrigation	FARM POND???	NR3_8690_8500	non-tidal	0.00000000000000000000
71680	74490	commercial	Lake Montclair	PL0_5491_0000	tidal	0.000000000000000000000
71683	63397	manufacturing	ABRAMS CREEK	PU2_4220_3900	non-tidal	1.128
71684	59413	mining	LEVISA RIVER	BS3_8330_0000	non-tidal	0.35
71687	65157	municipal	BLACK CREEK RESERVOIR	JL1_7200_7250_black_creek_rsvr	non-tidal	0.115890410958904109589
71689	59699	municipal	ROCKFISH RIVER	JL2_6850_6890	non-tidal	0.000000000000000000000000
71689	65199	municipal	JOHNSON SPRINGS	JL2_6850_6890	non-tidal	0.258387097
71692	74493	commercial	Holding Pond	JL7_6800_7070	non-tidal	0.000000000000000000000
71697	59838	commercial	Lake Pelham	RU4_5640_6030_lake_pelham	non-tidal	0.000000000000000000000
71701	59066	irrigation	FARM POND	PS3_6460_6230	non-tidal	0.009509792822370730693562
71701	60132	irrigation	MEADOW RUN	PS3_6460_6230	non-tidal	0.031586097588588509655205
71704	74495	commercial	Kanawha Pond	JL7_6800_7070	non-tidal	0.010000000000000000000000
71707	60377	municipal	ABEL LAKE	PL0_5900_0000	tidal	6
71729	64862	mining	CLINCH RIVER	TU3_8480_8680	non-tidal	0.06
71736	60462	mining	FLAT CREEK	OR2_7780_7890	non-tidal	0.658064516
71736	64195	mining	QUARRY SUMP (DEWATERING)	OR2_7780_7890	non-tidal	1.73
71738	59357	mining	SOUTH ANNA RIVER	YP3_6470_6690	non-tidal	1.008690411
71738	59377	mining	SETTLING PONDS	YP3_6470_6690	non-tidal	12.96
71741	64880	municipal	TOM'S CREEK RESERVOIR	TU2_8860_9000	non-tidal	32
71745	74503	commercial	Thorn Spring Branch	NR6_8500_7820	non-tidal	0.000000000000000000000
71746	64877	municipal	BIG CEDAR CREEK	TU4_8680_8810	non-tidal	3.4
71748	74486	commercial	Pond	MN3_7540_7680	non-tidal	0.000000000000000000000
71755	64102	irrigation	LINE CREEK	RL5_6070_0000	tidal	0.209677419
71757	64896	mining	WRIGHTS VALLEY CREEK	NR0_8310_0000	tidal	0.051
71758	60019	municipal	BIG OTTER RIVER	OR2_7780_7890	non-tidal	6
71762	191606	municipal	Lake Caroline WTP	YM3_6430_6620	non-tidal	0.5775890410958904109589
71763	74489	commercial	Irrigation Pond	JL7_6800_7070	non-tidal	0.100000000000000000000000
71767	60376	municipal	SMITH LAKE	PL1_5690_0001	non-tidal	7.67123287671232876712
71769	68417	commercial	Deer Branch	OR3_7740_8271	non-tidal	0.000000000000000000000
71770	74512	commercial	Smith Mountain Lake	OR4_8271_8120	non-tidal	0.000000000000000000000
71776	64902	municipal	WITT SPRING	TU4_8800_9290	non-tidal	0.183870968
71779	65200	mining	WOLF CREEK	NR2_8210_8180	non-tidal	0.004849315068493150684932
71781	59946	municipal	Totier Creek Reservoir	JL6_6890_6990	non-tidal	2.5
71781	450008	municipal	Totier Creek	JL6_6890_6990	non-tidal	0.504
71782	74473	commercial	Irrigation Pond	JB0_7071_0000	tidal	0.000000000000000000000
71785	64904	mining	LICK FORK	BS1_8730_8540	non-tidal	0.179452054794520547945205
71787	64199	municipal	N FORK SHENANDOAH RIVER	PS3_5100_5080	non-tidal	2.49863013698630136986
71799	64873	municipal	SEVEN SPRINGS	TU4_8810_9000	non-tidal	0.212903226
71799	64875	municipal	SARGENT SPRING	TU4_8810_9000	non-tidal	0.315
71806	62146	irrigation	LAKEWOOD POND	ES0_0000_0000	tidal	0.032000000000000000000000
71807	60402	fossilpower	ROANOKE RIVER	OR5_8410_8470	non-tidal	11.800000000000000000000
71810	60340	municipal	BEAVERDAM CREEK	JL7_6800_7070	non-tidal	1.527
71810	65167	municipal	JAMES RIVER	JL7_6800_7070	non-tidal	2.00000000000000000000
71811	74491	commercial	Pond	YL0_6581_0000	tidal	0.000000000000000000000
71812	60436	municipal	NOTTOWAY RIVER	MN3_7930_8010	non-tidal	7.21917808219178082192
71812	61710	municipal	NOTTOWAY RIVER (Old)	MN3_7930_8010	non-tidal	0.000000000000000000000000
71813	68420	irrigation	IMPOUNDMENT POND #1	EL0_6610_0000	tidal	0.000000000000000000000
71819	59793	commercial	POND #14	PL2_4970_5250	non-tidal	1.73
71819	63306	commercial	POND  #1	PL2_4970_5250	non-tidal	0.177419355
71823	59403	irrigation	NOTTOWAY RIVER	MN4_7710_8161	non-tidal	0.155806452
71823	401241	irrigation	100 HP Electric Pump	MN4_7710_8161	non-tidal	0.086494850371133181053425
71823	401243	irrigation	100 HP VFD Drive	MN4_7710_8161	non-tidal	0.028306211473013212630137
71825	60475	mining	SLATE RIVER	JL2_7120_6970	non-tidal	0.616129032
71829	401564	commercial	Irrigation Pond	PU2_4220_3900	non-tidal	0.169118448224135172190455
71830	62478	commercial	ABRAMS CREEK	PU2_4220_3900	non-tidal	0.35
71834	60417	commercial	GOLF COURSE POND	JL4_6520_6710	non-tidal	0.080645161
71835	63808	irrigation	SHEPARDS RUN (WHEAT SP BR)	PS5_4380_4370	non-tidal	0.000000000000000000000000
71835	64342	irrigation	SHENANDOAH RIVER	PS5_4380_4370	non-tidal	0.000000000000000000000000
71836	59559	commercial	ROANOKE RIVER	OR2_7900_7740	non-tidal	4.516129032
71838	59955	irrigation	FARM POND	OD3_8340_8520	non-tidal	0.00000000000000000000
71850	59259	agriculture	PASSAGE CREEK	PS4_5080_4380	non-tidal	0.422289041
71851	60178	commercial	POND #12 Fairway/Green	RU4_6040_6030	non-tidal	0.236712328767123287671233
71851	61025	commercial	RAPIDAN RIVER	RU4_6040_6030	non-tidal	0.000000000000000000000000
71851	64566	commercial	POND #10 Fairway/Green	RU4_6040_6030	non-tidal	0.000000000000000000000000
71866	61612	irrigation	GUTHRIES CREEK	OR2_8460_8271	non-tidal	0.069041096
71867	58995	agriculture	ROANOKE RIVER	OR5_8370_8410	non-tidal	0.000000000000000000000
71867	61123	agriculture	ALLEN CREEK	OR7_8490_0000	non-tidal	0.000000000000000000000
71867	65492	agriculture	Allens Creek	OR7_8490_0000	non-tidal	0.000000000000000000000
71870	59876	irrigation	Shenandoah River	PS5_5240_5200	non-tidal	0.000000000000000000000
71875	60372	municipal	PEDLAR RESERVOIR	JL6_7160_7440	non-tidal	14.29032258
71882	64113	commercial	Irrigation Lake	JL7_6800_7070	non-tidal	0.027397260273972602739726
71889	60925	irrigation	FARM POND	MN4_7710_8161	non-tidal	0.00000000000000000000
71890	62109	irrigation	NORTH FORK SHENANDOAH RIVER	PS2_5560_5100	non-tidal	0.033424658
71891	62661	commercial	CATAWBA CREEK	JU1_7560_7500	non-tidal	0.079999999999999100000
71912	64828	municipal	SPRING	TU4_9260_0000	non-tidal	0.014483871
71916	64911	municipal	CLINCH RIVER	TU3_8480_8680	non-tidal	7.2
71916	64916	municipal	LAKE WHITTEN	TU3_8480_8680	non-tidal	2.6
71916	64931	municipal	COX'S BRANCH RESERVOIR	NR2_8210_8180	non-tidal	0.57383871
71917	61074	irrigation	NORTH RIVER	PS4_6230_6360	non-tidal	0.000000000000000000000
71917	61079	irrigation	SOUTH FORK SHENANDOAH RIVER	PS4_6360_5840	non-tidal	0.000000000000000000000
71921	60496	irrigation	COOKS CREEK	PS0_6160_6161	non-tidal	0.044383562
71923	59958	irrigation	POND 2   4 A. TOBACCO	OD3_8340_8520	non-tidal	0.00000000000000000000
71923	59962	irrigation	POND 1   6 A. TOBACCO	OD3_8340_8520	non-tidal	0.00000000000000000000
71923	61490	irrigation	POND 3   5 A. NR RIGNEY CIRCLE	OD3_8340_8520	non-tidal	0.00000000000000000000
71930	63829	irrigation	WEST CREEK POND	JA1_7600_7570	non-tidal	0.00000000000000000000
71931	65184	municipal	MOTTS RUN RESERVIOR	RU5_6030_0001	non-tidal	7.508751379427900554937
71931	65185	municipal	RAPPAHANNOCK RIVER	RU5_6030_0001	non-tidal	47.526865058928263828625
71936	59102	irrigation	Farm Pond	JB0_7074_0000	tidal	0.000000000000000000000
71936	62057	irrigation	James River	JB0_7074_0000	tidal	0.00000000000000000000
71937	60279	irrigation	FARM POND - 7 WINDS	PL2_4970_5250	non-tidal	0.00000000000000000000
71937	63841	irrigation	HILLTOP POND	PL2_4970_5250	non-tidal	0.00000000000000000000
71937	64040	irrigation	BEAVERDAM POND	PL2_4970_5250	non-tidal	0.00000000000000000000
71937	64109	irrigation	MAIN FARM POND	PL2_4970_5250	non-tidal	0.00000000000000000000
71940	63868	irrigation	FARM POND	OD5_8770_8780	non-tidal	0.00000000000000000000
71944	62074	manufacturing	SMITH RIVER	OD3_8630_8720	non-tidal	2.61369863
71949	59773	municipal	NORTH FORK SHENANDOAH RIVER	PS4_5080_4380	non-tidal	36.7
71950	74497	commercial	Aquia Creek	PL0_5850_0000	tidal	0.043013698630136986301370
71951	59921	irrigation	FARM POND	JB0_7390_0000	tidal	0.00000000000000000000
71951	62088	irrigation	FARM POND	JB0_7390_0000	tidal	0.007123288
71952	59266	irrigation	RAPPAHANNOCK RIVER	RL5_6070_0000	tidal	0.041965940685820203892500
71952	59928	irrigation	RUFFENS POND	RL5_6070_0000	tidal	0.000000000000000000000000
71952	60350	irrigation	RAPPAHANNOCK R DRIP PUMP	RL5_6070_0000	tidal	0.000000000000000000000000
71953	65159	manufacturing	Elizabeth River	JB0_7399_0000	tidal	0.000000000000000000000
71956	60191	municipal	LAKE GASTON	OR7_8490_0000	non-tidal	60
71956	401335	municipal	Stumpy Lake	MN2_7850_0000	tidal	6.048
71957	65158	agriculture	STALEY'S CREEK	TU2_8790_9070	non-tidal	3.554
71965	58867	irrigation	FARM POND	YP0_6781_0000	tidal	0.003835616
71966	62163	manufacturing	RAPPAHANNOCK RIVER	RL5_6070_0000	tidal	0.340232877
71969	60076	municipal	Deer Lake Estates	JB0_7050_0001_cranstons_mill	non-tidal	0.000000000000000000000
71977	74500	commercial	Crooked Run	ooked_run	non-tidal	0.041643835616438356164
71980	61888	irrigation	MILFORD POND	ES0_0000_0000	tidal	0.00000000000000000000
71980	61985	irrigation	ETZ POND	ES0_0000_0000	tidal	0.00000000000000000000
71981	61656	irrigation	FARM POND	OD3_8520_8621	non-tidal	0.00000000000000000000
71997	59368	irrigation	FARM POND #1	JA4_7470_7480	non-tidal	0.003644089294774228424831
71997	60406	irrigation	FARM POND #2	JA4_7470_7480	non-tidal	0.056804921359715858827884
71997	60482	irrigation	APPOMATTOX RIVER	JA4_7470_7480	non-tidal	0.003215372907153729071505
71999	58972	mining	TOTAL DROUGHT PONDS SOURCES	MN2_7830_7950	non-tidal	0.000000000000000000000000
71999	59595	mining	REYNOLDS POND	MN3_7930_8010	non-tidal	0.000000000000000000000000
71999	60907	mining	FOX PEN POND	MN3_7930_8010	non-tidal	0.000000000000000000000000
72003	62085	irrigation	NORTH FORK SHENANDOAH RIVER	PS3_5100_5080	non-tidal	0.65683871
72006	74505	commercial	Painters Pond intake	PS4_5840_5240	non-tidal	0.3825501357739910810170
72006	74507	commercial	Woodstone Lake intake	PS4_5840_5240	non-tidal	0.5196142477876433761586
72007	62977	municipal	GORDONSVILLE QUARRY	YP3_6470_6690	non-tidal	0.090322581
