"MP_hydroid","Hydrocode","Source_Type","MP.Name","Facility_hydroid","Facility","Use_Type","Latitude","Longitude","FIPS","Locality_NA","OWS.Planner","X2017","X2018","X2019","X2020","X2021","fiveyr_avg_mgy","Locality","GW_type","SW_Type"
71,"gwp_375626075272501","Groundwater","#3A",67083,"Chincoteague Town Of","Municipal",37.941444444444,-75.455694444444,51001,NA,"rgreen",3.48,0,0,0.454,9.087,2.6,"Accomack County",1,NA
72,"gwp_375626075272502","Groundwater","#3B",67083,"Chincoteague Town Of","Municipal",37.940694444444,-75.456722222222,51001,NA,"rgreen",5.787,0,0,0.353,9.056,3.04,"Accomack County",1,NA
73,"gwp_375626075272504","Groundwater","#3C",67083,"Chincoteague Town Of","Municipal",37.939666666667,-75.456888888889,51001,NA,"rgreen",3.936,0,0,0.302,8.84,2.62,"Accomack County",1,NA
74,"gwp_375006075344499","Groundwater","Plant MW (&WL)",67332,"Mappsville Facility & Labor Housing","Commercial",37.835,-75.578888888889,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
75,"gwp_375014075350399","Groundwater","Housing MW (&WL)",67332,"Mappsville Facility & Labor Housing","Commercial",37.83825,-75.584083333333,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
76,"gwp_375006075344401","Groundwater","Plant Production #1",67332,"Mappsville Facility & Labor Housing","Commercial",37.83525,-75.578555555556,51001,NA,"rgreen",1.3416,0.8908,0.074,0,0,0.46,"Accomack County",1,NA
77,"gwp_373918075491201","Groundwater","17 N",67349,"Eastern Shore Yacht And Country Club","Commercial",37.654972222222,-75.819861111111,51001,NA,"rgreen",2.61135,1.54494,5.16778,7.99598,11.91494,5.85,"Accomack County",1,NA
78,"gwp_373914075491701","Groundwater","12 S (&WQ)",67349,"Eastern Shore Yacht And Country Club","Commercial",37.653888888889,-75.821333333333,51001,NA,"rgreen",1.36556,0.65787,1.00902,0.002233,0.012819,0.61,"Accomack County",1,NA
79,"gwp_373929075493101","Groundwater","Clubhouse",67349,"Eastern Shore Yacht And Country Club","Commercial",37.658166666667,-75.825166666667,51001,NA,"rgreen",0.23189,0,0,0.000883,0.003411,0.05,"Accomack County",1,NA
81,"gwp_373911075490601","Groundwater","Maint. Shed",67349,"Eastern Shore Yacht And Country Club","Commercial",37.653083333333,-75.818222222222,51001,NA,"rgreen",0.05716,0.07355,0.05993,0.04729,0.05153,0.06,"Accomack County",1,NA
82,"gwp_375627075272400","Groundwater","Field 3 Well #1",67083,"Chincoteague Town Of","Municipal",37.940833333333,-75.456527777778,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
83,"gwp_375624075272600","Groundwater","Field 3 Well #2",67083,"Chincoteague Town Of","Municipal",37.940138888889,-75.457083333333,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
84,"gwp_375622075272600","Groundwater","Field 3 Well #3",67083,"Chincoteague Town Of","Municipal",37.939444444444,-75.457222222222,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
85,"gwp_375619075272900","Groundwater","Field 3 Well #4",67083,"Chincoteague Town Of","Municipal",37.938611111111,-75.458055555556,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
86,"gwp_375616075273100","Groundwater","Field 3 Well #5",67083,"Chincoteague Town Of","Municipal",37.937638888889,-75.458611111111,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
87,"gwp_375611075273400","Groundwater","Field 3 Well #6",67083,"Chincoteague Town Of","Municipal",37.936388888889,-75.459444444444,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
88,"gwp_375607075273600","Groundwater","Field 3 Well #7",67083,"Chincoteague Town Of","Municipal",37.935277777778,-75.460138888889,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
89,"gwp_375602075273900","Groundwater","Field 3 Well #8",67083,"Chincoteague Town Of","Municipal",37.934027777778,-75.460833333333,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
90,"gwp_375558075274200","Groundwater","Field 3 Well #9",67083,"Chincoteague Town Of","Municipal",37.932777777778,-75.461805555556,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
91,"gwp_375010075345101","Groundwater","House #1",67332,"Mappsville Facility & Labor Housing","Commercial",37.836222222222,-75.582416666667,51001,NA,"rgreen",0.1096,0.0241,0.1436,0.1675,0.1534,0.12,"Accomack County",1,NA
92,"gwp_375010075345201","Groundwater","House #2",67332,"Mappsville Facility & Labor Housing","Commercial",37.836305555556,-75.582638888889,51001,NA,"rgreen",0.0689,0.0526,0.0583,0.0852,0.0772,0.07,"Accomack County",1,NA
93,"gwp_375011075345301","Groundwater","House #3",67332,"Mappsville Facility & Labor Housing","Commercial",37.8365,-75.582861111111,51001,NA,"rgreen",0.05603,0.02454,0,0.0016,0.0821,0.03,"Accomack County",1,NA
94,"gwp_375011075345401","Groundwater","House #4",67332,"Mappsville Facility & Labor Housing","Commercial",37.836583333333,-75.583,51001,NA,"rgreen",0.09428,0.11295,0.03325,0.0754,0.01523,0.07,"Accomack County",1,NA
95,"gwp_375011075345501","Groundwater","House #5",67332,"Mappsville Facility & Labor Housing","Commercial",37.83675,-75.58325,51001,NA,"rgreen",0,0,1.84313,0.0008,0.104,0.39,"Accomack County",1,NA
96,"gwp_375012075345701","Groundwater","House #6",67332,"Mappsville Facility & Labor Housing","Commercial",37.836888888889,-75.583444444444,51001,NA,"rgreen",0.09785,0.04235,0.00191,0.0023,0.03358,0.04,"Accomack County",1,NA
97,"gwp_375012075345801","Groundwater","House #7",67332,"Mappsville Facility & Labor Housing","Commercial",37.836944444444,-75.583555555556,51001,NA,"rgreen",0.01636,0.02216,0,0,0,0.01,"Accomack County",1,NA
98,"gwp_375013075345901","Groundwater","House #8",67332,"Mappsville Facility & Labor Housing","Commercial",37.837027777778,-75.583555555556,51001,NA,"rgreen",0.08553,0.05092,0,0,0,0.03,"Accomack County",1,NA
99,"gwp_375013075350001","Groundwater","House #9",67332,"Mappsville Facility & Labor Housing","Commercial",37.837138888889,-75.583777777778,51001,NA,"rgreen",0.04806,0.04603,0.00286,0,0,0.02,"Accomack County",1,NA
100,"gwp_375013075350101","Groundwater","House #10",67332,"Mappsville Facility & Labor Housing","Commercial",37.836861111111,-75.583111111111,51001,NA,"rgreen",0.00368,0.0043,0,0,0,0,"Accomack County",1,NA
101,"gwp_375014075350201","Groundwater","House #11",67332,"Mappsville Facility & Labor Housing","Commercial",37.836916666667,-75.583277777778,51001,NA,"rgreen",0.07425,0.05039,0,0,0,0.02,"Accomack County",1,NA
102,"gwp_373912075485501","Groundwater","Restroom",67349,"Eastern Shore Yacht And Country Club","Commercial",37.653416666667,-75.815194444444,51001,NA,"rgreen",0.00182,0.00443,0.00409,0.00511,0.00465,0,"Accomack County",1,NA
103,"gwp_375118075333600","Groundwater","WS-2",67278,"Integrated Fisheries International Limited","Commercial",37.855055555556,-75.560111111111,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
104,"gwp_375124075333401","Groundwater","Production Well 1 & WQ",67278,"Integrated Fisheries International Limited","Commercial",37.85675,-75.559777777778,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
105,"gwp_375120075332101","Groundwater","Production Well 2 & WQ",67278,"Integrated Fisheries International Limited","Commercial",37.854611111111,-75.555888888889,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
106,"gwp_375115075332201","Groundwater","Production Well 3",67278,"Integrated Fisheries International Limited","Commercial",37.853861111111,-75.556277777778,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
107,"gwp_375115075332601","Groundwater","Production Well 4",67278,"Integrated Fisheries International Limited","Commercial",37.854055555556,-75.557805555556,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
108,"gwp_375110075331101","Groundwater","Production Well 5",67278,"Integrated Fisheries International Limited","Commercial",37.852861111111,-75.553611111111,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
109,"gwp_375110075333201","Groundwater","Production Well 6",67278,"Integrated Fisheries International Limited","Commercial",37.852444444444,-75.559222222222,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
110,"gwp_375058075332701","Groundwater","Production Well 7",67278,"Integrated Fisheries International Limited","Commercial",37.849194444444,-75.558166666667,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
118,"gwp_374704075390201","Groundwater","Well #4",67199,"Town Of Parksley Water Works","Municipal",37.785027777778,-75.650222222222,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
119,"gwp_375733075265601","Groundwater","Trails End #3",67315,"Trails End Utility Company Incorporated","Commercial",37.959269444444,-75.448886111111,51001,NA,"rgreen",0.86617,7.156285,6.387544,9.936745,10.782533,7.03,"Accomack County",1,NA
120,"gwp_375113075333001","Groundwater","Standby 1",67278,"Integrated Fisheries International Limited","Commercial",37.853611111111,-75.558333333333,51001,NA,"rgreen",0,NA,0,0,0,0,"Accomack County",1,NA
121,"gwp_375119075333101","Groundwater","Public Water Supply 3 (WS-3)",67278,"Integrated Fisheries International Limited","Commercial",37.855166666667,-75.55875,51001,NA,"rgreen",0.0206,0.126,0.014,0.0153,0.0191,0.04,"Accomack County",1,NA
122,"gwp_375200075304099","Groundwater","water table monitoring well",67207,"Us Nasa -Goddard Space Flight Center - Island System","Commercial",37.866666666667,-75.666666666667,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
123,"gwp_375200075304098","Groundwater","deep monitor well",67207,"Us Nasa -Goddard Space Flight Center - Island System","Commercial",37.866666666667,-75.511111111111,51001,NA,"rgreen",NA,NA,NA,0,0,0,"Accomack County",1,NA
124,"gwp_374419075393801","Groundwater","P-#4R",67227,"Perdue Farms Incorporated","Manufacturing",37.738638888889,-75.660666666667,51001,NA,"rgreen",109.185,109.294,108.86,108.9399,105.428,108.34,"Accomack County",1,NA
125,"gwp_375313075333801","Groundwater","#3A",67016,"Tyson Farms, Inc.","Manufacturing",37.886861111111,-75.560638888889,51001,NA,"rgreen",93.3757,NA,0,0,0,23.34,"Accomack County",1,NA
140,"gwp_374257075411201","Groundwater","Field Well",67019,"Accawmacke Ornamentals","Agriculture",37.715863888889,-75.686555555556,51001,NA,"rgreen",NA,0,NA,NA,NA,0,"Accomack County",1,NA
141,"gwp_374258075411201","Groundwater","Greenhouse #1",67019,"Accawmacke Ornamentals","Agriculture",37.716108333333,-75.686566666667,51001,NA,"rgreen",NA,0,NA,NA,NA,0,"Accomack County",1,NA
142,"gwp_374256075411301","Groundwater","Greenhouse #2",67019,"Accawmacke Ornamentals","Agriculture",37.7155,-75.687091666667,51001,NA,"rgreen",NA,0,NA,NA,NA,0,"Accomack County",1,NA
143,"gwp_374236075434101","Groundwater","Well #1",67387,"Broadleaf Farms","Irrigation",37.709933333333,-75.727925,51001,NA,"rgreen",1.425,0.483,0,0,0,0.38,"Accomack County",1,NA
144,"gwp_374234075434101","Groundwater","Well #2",67387,"Broadleaf Farms","Irrigation",37.709469444444,-75.72805,51001,NA,"rgreen",0,0.4428,2.47968,2.24188,1.38848,1.31,"Accomack County",1,NA
145,"gwp_374231075434401","Groundwater","Well #3",67387,"Broadleaf Farms","Irrigation",37.708566666667,-75.728947222222,51001,NA,"rgreen",0,0,0,0,0.58872,0.12,"Accomack County",1,NA
149,"gwp_375559075295701","Groundwater","Nursery #1",67239,"Dennis Nursery","Agriculture",37.933041666667,-75.499086111111,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
150,"gwp_375558075295701","Groundwater","Nursery #2",67239,"Dennis Nursery","Agriculture",37.932788888889,-75.499180555556,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
151,"gwp_375543075293001","Groundwater","Well #1",66952,"Dennis Azaleas","Agriculture",37.928636111111,-75.491561111111,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
152,"gwp_375219075344001","Groundwater","Well #1",66968,"Drummond Farm","Agriculture",37.871888888889,-75.577777777778,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
153,"gwp_375220075344801","Groundwater","Well #2",66968,"Drummond Farm","Agriculture",37.872138888889,-75.579855555556,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
154,"gwp_375220075345401","Groundwater","Well #3",66968,"Drummond Farm","Agriculture",37.872155555556,-75.581525,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
155,"gwp_374947075364901","Groundwater","Well #1",67342,"Sommers Farm","Agriculture",37.829661111111,-75.613744444444,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
157,"gwp_375053075362001","Groundwater","Well #1",67339,"Lewis Farm","Agriculture",37.847983333333,-75.605602777778,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
158,"gwp_375050075361401","Groundwater","Well #2",67339,"Lewis Farm","Agriculture",37.847177777778,-75.603908333333,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
159,"gwp_374959075341501","Groundwater","Well #1",67266,"Gillespe Farm","Irrigation",37.833358333333,-75.570908333333,51001,NA,"rgreen",0,0,NA,NA,NA,0,"Accomack County",1,NA
160,"gwp_374958075340601","Groundwater","Well #2",67266,"Gillespe Farm","Irrigation",37.832563888889,-75.585055555556,51001,NA,"rgreen",0,0,NA,NA,NA,0,"Accomack County",1,NA
161,"gwp_373839075485801","Groundwater","Well #1",67360,"Liberty Hall Farm","Agriculture",37.644119444444,-75.816197222222,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
164,"gwp_375608075274201","Groundwater","PW-8 (&WQ)",67083,"Chincoteague Town Of","Municipal",37.938083333333,-75.459305555556,51001,NA,"rgreen",30.572,40.629,37.788,40.94,44.917,38.97,"Accomack County",1,NA
165,"gwp_374818075374601","Groundwater","Well #1",67447,"Robert Van Dessel Farm","Agriculture",37.805138888889,-75.629527777778,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
166,"gwp_374805075381401","Groundwater","Well #2",66934,"David Van Dessel Farm","Agriculture",37.801416666667,-75.637138888889,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
167,"gwp_374814075380501","Groundwater","Well #3",66934,"David Van Dessel Farm","Agriculture",37.803805555556,-75.634638888889,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
168,"gwp_374813075380101","Groundwater","Well #4",66934,"David Van Dessel Farm","Agriculture",37.803666666667,-75.633666666667,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
169,"gwp_373927075493501","Groundwater","Pool",67349,"Eastern Shore Yacht And Country Club","Commercial",37.657416666667,-75.826361111111,51001,NA,"rgreen",0.0964,0.31055,0.22086,0.22061,0.22839,0.22,"Accomack County",1,NA
170,"gwp_373922075490999","Groundwater","MW-2 (WL)",67349,"Eastern Shore Yacht And Country Club","Commercial",37.656194444444,-75.819277777778,51001,NA,"rgreen",NA,NA,0,0,0,0,"Accomack County",1,NA
171,"gwp_374936075325001","Groundwater","Well #1",66912,"Hogneck Farm","Irrigation",37.826297222222,-75.547344444444,51001,NA,"rgreen",9.2295,6.976,6.853599,2.5824,2.5997,5.65,"Accomack County",1,NA
172,"gwp_374926075323301","Groundwater","Well #1",67361,"Hagan Farm","Agriculture",37.8239,-75.5425,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
173,"gwp_374312075401801","Groundwater","County Bldg",67301,"Accomack County Office Buildings Waterworks","Municipal",37.720008333333,-75.671411111111,51001,NA,"rgreen",1.984558,0.553602,2.130455,1.856161,1.671619,1.64,"Accomack County",1,NA
174,"gwp_374310075401801","Groundwater","Courthouse",67301,"Accomack County Office Buildings Waterworks","Municipal",37.719452777778,-75.671413888889,51001,NA,"rgreen",2.195966,0.58928,2.138456,2.235293,2.073335,1.85,"Accomack County",1,NA
175,"gwp_373856075480501","Groundwater","Well #1",67046,"Bobtown Nursery","Agriculture",37.648891666667,-75.8014,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
176,"gwp_373905075475601","Groundwater","Well #2",67046,"Bobtown Nursery","Agriculture",37.651127777778,-75.798636111111,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
177,"gwp_373853075480901","Groundwater","Well #3",67046,"Bobtown Nursery","Agriculture",37.648066666667,-75.8025,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
178,"gwp_374119075441701","Groundwater","Well #1",67328,"Weaver Farm","Agriculture",37.688625,-75.738055555556,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
179,"gwp_374128075434801","Groundwater","Well #2",67328,"Weaver Farm","Agriculture",37.691113888889,-75.729747222222,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
180,"gwp_374120075440501","Groundwater","Well #3",67328,"Weaver Farm","Agriculture",37.688627777778,-75.751394444444,51001,NA,"rgreen",NA,NA,NA,NA,NA,NA,"Accomack County",1,NA
181,"gwp_372914075472001","Groundwater","P-2 Managers House",67002,"Virginia Landing Campground","Municipal",37.487305555556,-75.788888888889,51001,NA,"rgreen",0,0,0,0,0,0,"Accomack County",1,NA
182,"gwp_375604075281401","Groundwater","Main Base Well #1",67153,"Us Nasa -Goddard Space Flight Center - Main Base","Commercial",37.934527777778,-75.4705,51001,NA,"rgreen",11.118295,8.693164,11.171749,18.394991,6.757171,11.23,"Accomack County",1,NA
183,"gwp_375640075285401","Groundwater","Main Base Well #2",67153,"Us Nasa -Goddard Space Flight Center - Main Base","Commercial",37.944333333333,-75.481583333333,51001,NA,"rgreen",1.4191,0.0007,0.0003,0.0009,0,0.28,"Accomack County",1,NA
184,"gwp_375615075283801","Groundwater","Main Base Well #3",67153,"Us Nasa -Goddard Space Flight Center - Main Base","Commercial",37.937611111111,-75.477111111111,51001,NA,"rgreen",59.4033,8.2377,9.729,16.8246,10.666,20.97,"Accomack County",1,NA
