"MP_hydroid","Hydrocode","Source Type","MP_name","Year","Water Use MGY","Water Use (MGD)","MPID","DEQ Well Number","MP_latitude","MP_longitude","facility_hydroid","facility_name","facility_status","facility_use_type","FIPS_code","locality"
"79","gwp_373929075493101","Well","Clubhouse","2020","0.000883","0.00","373929075493101","100-00858","37.658166666667","-75.825166666667","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
"81","gwp_373911075490601","Well","Maint. Shed","2020","0.04729","0.00","373911075490601","100-00860","37.653083333333","-75.818222222222","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
"82","gwp_375627075272400","Well","Field 3 Well #1","2020","0","0.00","375627075272400","100-00861","37.940833333333","-75.456527777778","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"83","gwp_375624075272600","Well","Field 3 Well #2","2020","0","0.00","375624075272600","100-00862","37.940138888889","-75.457083333333","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"84","gwp_375622075272600","Well","Field 3 Well #3","2020","0","0.00","375622075272600","100-00863","37.939444444444","-75.457222222222","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"85","gwp_375619075272900","Well","Field 3 Well #4","2020","0","0.00","375619075272900","100-00864","37.938611111111","-75.458055555556","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"86","gwp_375616075273100","Well","Field 3 Well #5","2020","0","0.00","375616075273100","100-00865","37.937638888889","-75.458611111111","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"87","gwp_375611075273400","Well","Field 3 Well #6","2020","0","0.00","375611075273400","100-00866","37.936388888889","-75.459444444444","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"88","gwp_375607075273600","Well","Field 3 Well #7","2020","0","0.00","375607075273600","100-00867","37.935277777778","-75.460138888889","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"89","gwp_375602075273900","Well","Field 3 Well #8","2020","0","0.00","375602075273900","100-00868","37.934027777778","-75.460833333333","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"90","gwp_375558075274200","Well","Field 3 Well #9","2020","0","0.00","375558075274200","100-00869","37.932777777778","-75.461805555556","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"91","gwp_375010075345101","Well","House #1","2020","0.1675","0.00","375010075345101","100-00871","37.836222222222","-75.582416666667","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"92","gwp_375010075345201","Well","House #2","2020","0.0852","0.00","375010075345201","100-00872","37.836305555556","-75.582638888889","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"93","gwp_375011075345301","Well","House #3","2020","0.0016","0.00","375011075345301","100-00873","37.836500000000","-75.582861111111","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"94","gwp_375011075345401","Well","House #4","2020","0.0754","0.00","375011075345401","100-00874","37.836583333333","-75.583000000000","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"95","gwp_375011075345501","Well","House #5","2020","0.0008","0.00","375011075345501","100-00875","37.836750000000","-75.583250000000","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"96","gwp_375012075345701","Well","House #6","2020","0.0023","0.00","375012075345701","100-00876","37.836888888889","-75.583444444444","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"97","gwp_375012075345801","Well","House #7","2020","0","0.00","375012075345801","100-00877","37.836944444444","-75.583555555556","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"98","gwp_375013075345901","Well","House #8","2020","0","0.00","375013075345901","100-00878","37.837027777778","-75.583555555556","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"99","gwp_375013075350001","Well","House #9","2020","0","0.00","375013075350001","100-00879","37.837138888889","-75.583777777778","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"100","gwp_375013075350101","Well","House #10","2020","0","0.00","375013075350101","100-00880","37.836861111111","-75.583111111111","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"101","gwp_375014075350201","Well","House #11","2020","0","0.00","375014075350201","100-00881","37.836916666667","-75.583277777778","67332","Mappsville Facility & Labor Housing","active","commercial","51001","Accomack"
"102","gwp_373912075485501","Well","Restroom","2020","0.00511","0.00","373912075485501","100-00882","37.653416666667","-75.815194444444","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
"103","gwp_375118075333600","Well","WS-2","2020","0","0.00","375118075333600","100-00883","37.855055555556","-75.560111111111","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"104","gwp_375124075333401","Well","Production Well 1 & WQ","2020","0","0.00","375124075333401","100-00884","37.856750000000","-75.559777777778","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"105","gwp_375120075332101","Well","Production Well 2 & WQ","2020","0","0.00","375120075332101","100-00885","37.854611111111","-75.555888888889","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"106","gwp_375115075332201","Well","Production Well 3","2020","0","0.00","375115075332201","100-00886","37.853861111111","-75.556277777778","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"107","gwp_375115075332601","Well","Production Well 4","2020","0","0.00","375115075332601","100-00887","37.854055555556","-75.557805555556","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"108","gwp_375110075331101","Well","Production Well 5","2020","0","0.00","375110075331101","100-00888","37.852861111111","-75.553611111111","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"109","gwp_375110075333201","Well","Production Well 6","2020","0","0.00","375110075333201","100-00889","37.852444444444","-75.559222222222","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"110","gwp_375058075332701","Well","Production Well 7","2020","0","0.00","375058075332701","100-00890","37.849194444444","-75.558166666667","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"118","gwp_374704075390201","Well","Well #4","2020","0","0.00","374704075390201","100-00898","37.785027777778","-75.650222222222","67199","Town of Parksley Water Works","active","municipal","51001","Accomack"
"119","gwp_375733075265601","Well","Trails End #3","2020","9.936745","0.03","375733075265601","100-00899","37.959269444444","-75.448886111111","67315","Trails End Utility Company Incorporated","active","municipal","51001","Accomack"
"120","gwp_375113075333001","Well","Standby 1","2020","0","0.00","375113075333001","100-00900","37.853611111111","-75.558333333333","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"121","gwp_375119075333101","Well","Public Water Supply 3 (WS-3)","2020","0.0153","0.00","375119075333101","100-00901","37.855166666667","-75.558750000000","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"122","gwp_375200075304099","Well","water table monitoring well","2020","0","0.00","375200075304099","100-00902","37.866666666667","-75.666666666667","67207","US NASA -Goddard Space Flight Center - Island System","active","commercial","51001","Accomack"
"123","gwp_375200075304098","Well","deep monitor well","2020","0","0.00","375200075304098","100-00903","37.866666666667","-75.511111111111","67207","US NASA -Goddard Space Flight Center - Island System","active","commercial","51001","Accomack"
"124","gwp_374419075393801","Well","P-#4R","2020","108.9399","0.30","374419075393801","100-00904","37.738638888889","-75.660666666667","67227","Perdue Farms Incorporated","active","industrial","51001","Accomack"
"125","gwp_375313075333801","Well","#3A","2020","0","0.00","375313075333801","100-00906","37.886861111111","-75.560638888889","67016","Tyson Farms, Inc.","active","industrial","51001","Accomack"
"126","gwp_375922075323101","Well","Well #P-1 (&WQ)","2020","0.227353","0.00","375922075323101","100-00907","37.989166666667","-75.542000000000","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"127","gwp_375925075322401","Well","Well #P-2","2020","0.329181","0.00","375925075322401","100-00908","37.990333333333","-75.539972222222","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"128","gwp_375918075322301","Well","Well #P-3","2020","0.153996","0.00","375918075322301","100-00909","37.989027777778","-75.539333333333","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"129","gwp_375914075323601","Well","Well #P-4","2020","0.260922","0.00","375914075323601","100-00910","37.987888888889","-75.543416666667","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"130","gwp_375922075323901","Well","Well #P-5","2020","0.136563","0.00","375922075323901","100-00911","37.989638888889","-75.544250000000","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"131","gwp_375927075323201","Well","Well #P-6","2020","0.25484","0.00","375927075323201","100-00912","37.990972222222","-75.542833333333","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"132","gwp_375923075322701","Well","Well #P-7","2020","0.206313","0.00","375923075322701","100-00913","37.989583333333","-75.541055555556","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"133","gwp_375916075322901","Well","Well #P-8","2020","0.29278","0.00","375916075322901","100-00914","37.988166666667","-75.541277777778","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"134","gwp_375921075323501","Well","Well #P-9","2020","0.222414","0.00","375921075323501","100-00915","37.989944444444","-75.542611111111","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"135","gwp_375920075322201","Well","Well #DW-1A","2020","0.067987","0.00","375920075322201","100-00916","37.988922222222","-75.539350000000","67272","Commonwealth Chesapeake Power Station","active","fossilpower","51001","Accomack"
"143","gwp_374236075434101","Well","Well #1","2020","0","0.00","374236075434101","100-00924","37.709933333333","-75.727925000000","67387","Broadleaf Farms","active","irrigation","51001","Accomack"
"144","gwp_374234075434101","Well","Well #2","2020","2.24188","0.01","374234075434101","100-00925","37.709469444444","-75.728050000000","67387","Broadleaf Farms","active","irrigation","51001","Accomack"
"145","gwp_374231075434401","Well","Well #3","2020","0","0.00","374231075434401","100-00926","37.708566666667","-75.728947222222","67387","Broadleaf Farms","active","irrigation","51001","Accomack"
"164","gwp_375608075274201","Well","PW-8 (&WQ)","2020","40.94","0.11","375608075274201","100-00945","37.938083333333","-75.459305555556","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"169","gwp_373927075493501","Well","Pool","2020","0.22061","0.00","373927075493501","100-00950","37.657416666667","-75.826361111111","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
"170","gwp_373922075490999","Well","MW-2 (WL)","2020","0","0.00","373922075490999","100-00951","37.656194444444","-75.819277777778","67349","Eastern Shore Yacht and Country Club","active","commercial","51001","Accomack"
"171","gwp_374936075325001","Well","Well #1","2020","2.5824","0.01","374936075325001","100-00952","37.826297222222","-75.547344444444","66912","Hogneck Farm","active","irrigation","51001","Accomack"
"173","gwp_374312075401801","Well","County Bldg","2020","1.856161","0.01","374312075401801","100-00955","37.720008333333","-75.671411111111","67301","Accomack County Office Buildings Waterworks","active","municipal","51001","Accomack"
"174","gwp_374310075401801","Well","Courthouse","2020","2.235293","0.01","374310075401801","100-00956","37.719452777778","-75.671413888889","67301","Accomack County Office Buildings Waterworks","active","municipal","51001","Accomack"
"181","gwp_372914075472001","Well","P-2 Managers House","2020","0","0.00","372914075472001","100-00965","37.487305555556","-75.788888888889","67002","Virginia Landing Campground","active","municipal","51001","Accomack"
"182","gwp_375604075281401","Well","Main Base Well #1","2020","18.394991","0.05","375604075281401","100-00966","37.934527777778","-75.470500000000","67153","US NASA -Goddard Space Flight Center - Main Base","active","commercial","51001","Accomack"
"183","gwp_375640075285401","Well","Main Base Well #2","2020","0.0009","0.00","375640075285401","100-00967","37.944333333333","-75.481583333333","67153","US NASA -Goddard Space Flight Center - Main Base","active","commercial","51001","Accomack"
"184","gwp_375615075283801","Well","Main Base Well #3","2020","16.8246","0.05","375615075283801","100-00968","37.937611111111","-75.477111111111","67153","US NASA -Goddard Space Flight Center - Main Base","active","commercial","51001","Accomack"
"185","gwp_375610075282501","Well","Main Base Well #4","2020","16.4408","0.05","375610075282501","100-00969","37.936000000000","-75.473472222222","67153","US NASA -Goddard Space Flight Center - Main Base","active","commercial","51001","Accomack"
"186","gwp_375621075285001","Well","Main Base Well #5(H-115)","2020","0","0.00","375621075285001","100-00970","37.939083333333","-75.480638888889","67153","US NASA -Goddard Space Flight Center - Main Base","active","commercial","51001","Accomack"
"219","gwp_374226075441599","Well","Test #1 (Monitoring)","2020","0","0.00","374226075441599","100-01014","37.707194444444","-75.737500000000","67084","Onancock Town of","active","municipal","51001","Accomack"
"220","gwp_374225075441401","Well","#7","2020","21.5798","0.06","374225075441401","100-01015","37.706916666667","-75.737333333333","67084","Onancock Town of","active","municipal","51001","Accomack"
"221","gwp_374227075441901","Well","#8","2020","6.5449","0.02","374227075441901","100-01016","37.707527777778","-75.738638888889","67084","Onancock Town of","active","municipal","51001","Accomack"
"222","gwp_374229075441401","Well","#9","2020","41.2257","0.11","374229075441401","100-01017","37.708138888889","-75.737194444444","67084","Onancock Town of","active","municipal","51001","Accomack"
"225","gwp_380006075243701","Well","#4 (&WQ)","2020","6.363449","0.02","380006075243701","100-01020","38.001861111111","-75.410222222222","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"240","gwp_375616075273499","Well","MW3D (Test)","2020","0","0.00","375616075273499","100-01035","37.940388888889","-75.456972222222","67083","Chincoteague Town of","active","municipal","51001","Accomack"
"272","gwp_375911075252871","Well","#1U (WQ)","2020","0","0.00","375911075252871","100-01071","37.989416666667","-75.424611111111","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"273","gwp_375911075252872","Well","#3U","2020","16.7474","0.05","375911075252872","100-01072","38.003222222222","-75.425916666667","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"274","gwp_375911075252873","Well","#4U","2020","14.8591","0.04","375911075252873","100-01073","38.001861111111","-75.410305555556","67257","Captain's Cove Utility Company, Inc.","active","commercial","51001","Accomack"
"276","gwp_373838075431501","Well","#1","2020","1.461","0.00","373838075431501","100-01075","37.643883333333","-75.720758333333","67247","Melfa Farm","active","agriculture","51001","Accomack"
"277","gwp_373837075431201","Well","#2","2020","14.483","0.04","373837075431201","100-01076","37.643630555556","-75.719913888889","67247","Melfa Farm","active","agriculture","51001","Accomack"
"278","gwp_373840075432001","Well","#3","2020","0","0.00","373840075432001","100-01077","37.644519444444","-75.722258055556","67247","Melfa Farm","active","agriculture","51001","Accomack"
"279","gwp_373615075480301","Well","Farm-1","2020","0","0.00","373615075480301","100-01078","37.605272222222","-75.803541666667","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"280","gwp_373619075481301","Well","Farm-2","2020","0","0.00","373619075481301","100-01079","37.605788000000","-75.804275000000","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"281","gwp_373622075481901","Well","Farm-3","2020","9.228","0.03","373622075481901","100-01080","37.606205555556","-75.805125000000","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"283","gwp_373159075473801","Well","#1","2020","15.658","0.04","373159075473801","100-01083","37.533194444444","-75.793944444444","67372","Bowen Farm","active","irrigation","51001","Accomack"
"284","gwp_373158075473501","Well","#2","2020","13.365","0.04","373158075473501","100-01084","37.532777777778","-75.793111111111","67372","Bowen Farm","active","irrigation","51001","Accomack"
"285","gwp_374530075372401","Well","Well #2","2020","0","0.00","374530075372401","100-01086","37.758322222222","-75.623433333333","66899","Riverside Shore Rehabilitation Center","active","commercial","51001","Accomack"
"286","gwp_374116075393601","Well","#1","2020","4.78","0.01","374116075393601","100-01089","37.687722222222","-75.659916666667","67189","Bull Farm","active","irrigation","51001","Accomack"
"287","gwp_374112075393501","Well","Well #2","2020","0","0.00","374112075393501","100-01090","37.686527777778","-75.659694444444","67189","Bull Farm","active","irrigation","51001","Accomack"
"288","gwp_374106075393401","Well"," Well #3","2020","0.095","0.00","374106075393401","100-01091","37.685138888889","-75.659472222222","67189","Bull Farm","active","irrigation","51001","Accomack"
"299","gwp_375125075333599","Well","DMW-1","2020","0","0.00","375125075333599","100-01102","37.856888888889","-75.559611111111","67278","Integrated Fisheries International Limited","active","commercial","51001","Accomack"
"300","gwp_375024075334601","Well","#3 (Corner)","2020","2.0744","0.01","375024075334601","100-01104","37.840138888889","-75.563027777778","67129","Triangle Mobile Home Park","active","municipal","51001","Accomack"
"301","gwp_375024075334701","Well","#4 (New)","2020","2.3744","0.01","375024075334701","100-01105","37.840027777778","-75.563083333333","67129","Triangle Mobile Home Park","active","municipal","51001","Accomack"
"302","gwp_373603075483901","Well","AF 2-1","2020","0.06127","0.00","373603075483901","100-01106","37.600813888889","-75.810891666667","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"303","gwp_373601075483901","Well","AF 2-2","2020","0.05219","0.00","373601075483901","100-01107","37.600541666667","-75.810925000000","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"304","gwp_373600075483901","Well","AF 2-3","2020","0.1696","0.00","373600075483901","100-01108","37.600266666667","-75.810955555556","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"305","gwp_373554075483901","Well","AF 2-4","2020","0.05019","0.00","373554075483901","100-01109","37.599997222222","-75.810988888889","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"306","gwp_373559075483901","Well","AF 2-5","2020","0.03913","0.00","373559075483901","100-01110","37.599722222222","-75.811022222222","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"307","gwp_373557075483901","Well","AF 2-7","2020","0.08063","0.00","373557075483901","100-01111","37.599175000000","-75.811091666667","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"308","gwp_373556075484001","Well","AF 2-8","2020","0.18037","0.00","373556075484001","100-01112","37.598905555556","-75.811119444444","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"309","gwp_373600075484001","Well","AF 2-9","2020","0.07512","0.00","373600075484001","100-01113","37.598613888889","-75.811152777778","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"310","gwp_373555075484101","Well","AF 2-10","2020","0.07198","0.00","373555075484101","100-01114","37.598638888889","-75.811494444444","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"312","gwp_373601075483801","Well","Pete's House","2020","0.03648","0.00","373601075483801","100-01116","37.600322222222","-75.810702777778","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"313","gwp_373601075485501","Well","AF 1-3","2020","0.31643","0.00","373601075485501","100-01117","37.600466666667","-75.815383333333","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"314","gwp_373604075485501","Well","AF 1-1","2020","0.52487","0.00","373604075485501","100-01119","37.601077777778","-75.815311111111","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"315","gwp_373600075483301","Well","Leader House","2020","0.04747","0.00","373600075483301","100-01120","37.600050000000","-75.809330555556","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"316","gwp_373600075485501","Well","AF 1-4","2020","0.87183","0.00","373600075485501","100-01121","37.600147222222","-75.815052777778","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"317","gwp_373559075485501","Well","AF 1-5","2020","0.04357","0.00","373559075485501","100-01122","37.599844444444","-75.815433333333","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"318","gwp_373558075485601","Well","AF 1-6","2020","0.48433","0.00","373558075485601","100-01123","37.599511111111","-75.815497222222","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"319","gwp_373558075485901","Well","AF 1-7","2020","0.08739","0.00","373558075485901","100-01124","37.599450000000","-75.816497222222","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"320","gwp_373558075483901","Well","AF 2-6","2020","0.0979","0.00","373558075483901","100-01125","37.599472222222","-75.811055555556","67431","Christian/Ames Farm","active","irrigation","51001","Accomack"
"321","gwp_374702075390101","Well","New Well #1","2020","9.2322","0.03","374702075390101","100-01126","37.784611111111","-75.650305555556","67199","Town of Parksley Water Works","active","municipal","51001","Accomack"
"322","gwp_373342075474401","Well","Farm #3 (1129)","2020","0","0.00","373342075474401","100-01129","37.561650000000","-75.795522222222","67394","Painter Complex","active","agriculture","51001","Accomack"
"323","gwp_373339075474801","Well","Farm #4 (1130)","2020","0","0.00","373339075474801","100-01130","37.560827777778","-75.796541666667","67394","Painter Complex","active","agriculture","51001","Accomack"
"335","gwp_373846077200701","Well","Strawhorne Well","2020","4.0197","0.01","373846077200701","142-00547","37.647739225000","-77.335681680556","67168","Strawhorne","active","municipal","51085","Hanover"
